Date,MCP
14/12/2016,2099.6
15/12/2016,2578.05
16/12/2016,2373.57
17/12/2016,2258.22
18/12/2016,1882.07
19/12/2016,2303.57
20/12/2016,2298.79
21/12/2016,2383.6
22/12/2016,2249.51
23/12/2016,2137.89
24/12/2016,2318.06
25/12/2016,1936.49
26/12/2016,2247.73
27/12/2016,2289.21
28/12/2016,2399.85
29/12/2016,2436.56
30/12/2016,2422.89
31/12/2016,2258.79
1/1/2017,2060.51
2/1/2017,2153.4
3/1/2017,2337.42
4/1/2017,2599.55
5/1/2017,2564.29
6/1/2017,2605.33
7/1/2017,2606.09
8/1/2017,2249.98
9/1/2017,2499.99
10/1/2017,2536.54
11/1/2017,2583.88
12/1/2017,2674.91
13/1/2017,2694.1
14/1/2017,2377.29
15/1/2017,2219.87
16/1/2017,2449.47
17/1/2017,2664.92
18/1/2017,2672.53
19/1/2017,2499.99
20/1/2017,2682.9
21/1/2017,2667.53
22/1/2017,2338.38
23/1/2017,2599.67
24/1/2017,2590.16
25/1/2017,2633.51
26/1/2017,2301.59
27/1/2017,2466.34
28/1/2017,2499.98
29/1/2017,2332.34
30/1/2017,2626.48
31/1/2017,2675.86
1/2/2017,2443.69
2/2/2017,2599.42
3/2/2017,2645.57
4/2/2017,2507.31
5/2/2017,2445.27
6/2/2017,2618.21
7/2/2017,2635.07
8/2/2017,2632.39
9/2/2017,2679.85
10/2/2017,2570.3
11/2/2017,2589.32
12/2/2017,2457.33
13/2/2017,2503.57
14/2/2017,2599.54
15/2/2017,2517.16
16/2/2017,2426.84
17/2/2017,2596.57
18/2/2017,2612.09
19/2/2017,2385.04
20/2/2017,2493.91
21/2/2017,2599.57
22/2/2017,2585.96
23/2/2017,2561.72
24/2/2017,2610.5
25/2/2017,2506.13
26/2/2017,2407.14
27/2/2017,2479.92
28/2/2017,2474.73
1/3/2017,2390.25
2/3/2017,2442.69
3/3/2017,2472.08
4/3/2017,2539.41
5/3/2017,2355.52
6/3/2017,2541.12
7/3/2017,2474.04
